Ranking,Institution,Faculty Count,Average Citations,Country,Continent
190,University of Oregon,20,6731.22,USA,North America
191,Monash University,93,6730.74,Australia,Australia
192,University of Tokyo,87,6722.8,Japan,Asia
193,University of Athens,37,6666.41,Greece,Europe
194,Heidelberg University,26,6664.42,Germany,Europe
195,CUNY,82,6662.78,USA,North America
196,University of Pittsburgh,50,6628.53,USA,North America
197,University of Erlangen–Nuremberg,30,6593.18,Germany,Europe
198,Fudan University,83,6553.58,China,Asia
199,Bauhaus University Weimar,9,6540.0,Germany,Europe
200,Drexel University,19,6512.58,USA,North America
201,University of Kassel,12,6450.67,Germany,Europe
202,SUSTech,47,6449.02,China,Asia
203,IMDEA Networks Institute,12,6448.75,Spain,Europe
204,TU Eindhoven,53,6401.16,Netherlands,Europe
205,University of Colorado Boulder,79,6384.73,USA,North America
206,UNSW,70,6380.26,Australia,Australia
207,University of Wyoming,4,6332.75,USA,North America
208,George Mason University,64,6327.87,USA,North America
209,Peking University,169,6281.93,China,Asia
210,TU Braunschweig,14,6209.69,Germany,Europe
211,University of Newcastle,5,6175.6,Australia,Australia
212,Politecnico di Milano,87,6163.22,Italy,Europe
213,Australian National University,64,6145.5,Australia,Oceania
214,University of Memphis,11,6136.5,USA,North America
215,University of Florida,47,6136.15,USA,North America
216,Zhejiang University,108,6099.59,China,Asia
217,University of Houston,31,6075.87,USA,North America
218,Humboldt University of Berlin,20,6061.73,Germany,Europe
219,SUTD,22,6041.91,Singapore,Asia
220,TU Wien,64,6041.38,Austria,Europe
221,Ruhr-University Bochum,21,6041.33,Germany,Europe
222,University of Regina,15,6023.0,Canada,North America
223,University of Calgary,45,6011.53,Canada,North America
224,University of Ottawa,46,5997.07,Canada,North America
225,University of Hawaii at Manoa,22,5978.47,USA,North America
226,Aalto University,50,5960.33,Finland,Europe
227,University of Western Australia,17,5911.38,Australia,Australia
228,Ben-Gurion University of the Negev,18,5888.93,Israel,Asia
229,Texas A&M University,61,5879.07,USA,North America
230,University of Hamburg,27,5876.5,Germany,Europe
231,Cleveland State University,18,5858.3,USA,North America
232,Seoul National University,58,5840.2,South Korea,Asia
233,University of Warwick,49,5827.49,UK,Europe
234,Singapore Management University,43,5822.0,Singapore,Asia
235,University of Southampton,82,5816.54,UK,Europe
236,University of York,51,5792.8,UK,Europe
237,POSTECH,34,5792.58,South Korea,Asia
238,University of Hannover,23,5777.4,Germany,Europe
239,Florida State University,27,5774.08,USA,North America
240,Tata Inst. of Fundamental Research,14,5737.33,India,Asia
241,University of Auckland,45,5734.43,New Zealand,Australia
242,University of Passau,14,5700.25,Germany,Europe
243,Western Michigan University,13,5658.6,USA,North America
244,George Washington University,19,5652.36,USA,North America
245,Kyoto University,48,5616.67,Japan,Asia
246,Washington State University,53,5606.46,USA,North America
247,TU Delft,77,5605.6,Netherlands,Europe
248,Northern Arizona University,29,5572.86,USA,North America
249,Case Western Reserve University,18,5557.79,USA,North America
250,University of Massachusetts Lowell,38,5528.67,USA,North America
251,University of Crete,25,5513.92,Greece,Europe
252,University of Texas at San Antonio,20,5505.16,USA,North America
253,TU Dortmund,21,5498.67,Germany,Europe
