Ranking,Institution,Faculty Count,Total h-index,Country,Continent
508,University of New Hampshire,11,193.0,USA,North America
509,TOBB ETÜ,13,189.0,Turkey,Asia
510,LUMS,16,188.0,Pakistan,Asia
511,IIT Roorkee,13,186.0,India,Asia
512,Scuola Superiore Sant'Anna,5,184.0,Italy,Europe
513,University of Molise,7,183.0,Italy,Europe
514,University of Bern,4,183.0,Switzerland,Europe
515,University of Cape Town,12,180.0,South Africa,Africa
516,University of Nevada Las Vegas,14,179.0,USA,North America
517,University of Newcastle,5,174.0,Australia,Australia
518,Bocconi University,6,174.0,Italy,Europe
519,Brno University of Technology,8,174.0,Czech Republic,Europe
520,University of Windsor,19,173.0,Canada,North America
521,Universidad Nacional de Córdoba,23,173.0,Argentina,South America
522,Polytechnique Montreal,7,172.0,Canada,North America
523,NYU Shanghai,3,172.0,China,Asia
524,Texas Tech University,15,168.0,USA,North America
525,IIT Mandi,14,167.0,India,Asia
526,University of Idaho,13,166.0,USA,North America
527,University of Michigan-Dearborn,12,164.0,USA,North America
528,IIT Ropar,12,162.0,India,Asia
529,University of Wisconsin - Milwaukee,11,161.0,USA,North America
530,TU Clausthal,9,157.0,Germany,Europe
531,Mississippi State University,14,155.0,USA,North America
532,Freie Universitaet Berlin,7,154.0,Germany,Europe
533,OHSU,10,154.0,USA,North America
534,University of Trier,9,153.0,Germany,Europe
535,Jacobs University Bremen,6,153.0,Germany,Europe
536,University of Malta,11,151.0,Malta,Europe
537,Oakland University,13,151.0,USA,North America
538,Towson University,24,145.0,USA,North America
539,Stellenbosch University,7,145.0,South Africa,Africa
540,Nova Southeastern University,20,145.0,USA,North America
541,TU Chemnitz,14,144.0,Germany,Europe
542,University of Halle-Wittenberg,9,141.0,Germany,Europe
543,Montana State University,8,139.0,USA,North America
544,The University of Alabama,17,139.0,USA,North America
545,Kyung Hee University,6,137.0,South Korea,Asia
546,University of Nicosia,15,132.0,Cyprus,Europe
547,Tongji University,23,127.0,China,Asia
548,IMSc,8,125.0,India,Asia
549,University of Alabama - Birmingham,10,125.0,USA,North America
550,Western Michigan University,13,124.0,USA,North America
551,Ohio University,17,122.0,USA,North America
552,American University in Cairo,9,122.0,Egypt,Africa
553,University of New Orleans,10,122.0,USA,North America
554,University of Nebraska - Omaha,17,120.0,USA,North America
555,University of Hildesheim,3,119.0,Germany,Europe
556,South Asian University,7,119.0,India,Asia
557,Izmir Institute of Technology,11,112.0,Turkey,Asia
558,Universidade Federal de Viçosa,13,111.0,Brazil,South America
559,Universidad de Zaragoza,7,110.0,Spain,Europe
560,Southern Methodist University,10,109.0,USA,North America
561,SUFE,7,107.0,China,Asia
562,University of Maine,6,103.0,USA,North America
563,New Mexico Tech,7,103.0,USA,North America
564,Galatasaray University,13,99.0,Turkey,Europe
565,Claremont Graduate University,6,96.0,USA,North America
566,University of Alabama - Huntsville,13,90.0,USA,North America
567,Ecole Normale Superieure de Rennes,5,90.0,France,Europe
568,UFMS,11,86.0,Brazil,South America
569,KMUTNB,11,85.0,Thailand,Asia
570,University of Wyoming,4,84.0,USA,North America
571,Bauhaus University Weimar,9,75.0,Germany,Europe
572,Oklahoma State University,17,75.0,USA,North America
573,IPM,3,74.0,Iran,Asia
574,Royal Military College of Canada,10,73.0,Canada,North America
575,University of Arkansas - Little Rock,7,67.0,USA,North America
576,Babeș-Bolyai University,4,64.0,Romania,Europe
577,DTU,3,60.0,Denmark,Europe
578,Missouri S&T,5,60.0,USA,North America
579,Air Force Institute of Technology,10,60.0,USA,North America
580,University of Denver,7,58.0,USA,North America
581,IIT Bhubaneswar,2,51.0,India,Asia
582,IIT Goa,9,51.0,India,Asia
583,University of Southern Mississippi,13,44.0,USA,North America
584,Simula UiB,2,38.0,Norway,Europe
585,Simmons University,1,27.0,USA,North America
586,University of Twente,1,27.0,Netherlands,Europe
587,Louisiana Tech University,4,25.0,USA,North America
588,University of Colorado - Denver,8,23.0,USA,North America
589,University of Mississippi,4,19.0,USA,North America
590,Indiana State University,4,18.0,USA,North America
591,North Dakota State University,5,18.0,USA,North America
592,Chulalongkorn University,16,15.0,Thailand,Asia
593,Ruhr-Universty Bochum,1,14.0,Germany,Europe
594,TU Freiberg,4,13.0,Germany,Europe
595,LIU Post,4,11.0,USA,North America
596,Wichita State Unitveristy,1,3.0,USA,North America
