Ranking,Institution,Faculty Count,Total Citations,Country,Continent
359,University of Düsseldorf,13,69602.0,Germany,Europe
360,University of Exeter,25,69587.0,UK,Europe
361,Virginia Commonwealth University,18,68760.0,USA,North America
362,University of Passau,14,68403.0,Germany,Europe
363,University of Sannio,14,68099.0,Italy,Europe
364,Bielefeld University,13,67808.0,Germany,Europe
365,PUC-RS,22,67611.0,Brazil,South America
366,University of Wroclaw,31,67501.0,Poland,Europe
367,Naval Postgraduate School,23,67367.0,USA,North America
368,University of Kiel,17,67100.0,Germany,Europe
369,University of Vermont,24,66774.0,USA,North America
370,USP,36,66357.0,Brazil,South America
371,UFRJ,38,66307.0,Brazil,South America
372,TU Dortmund,21,65984.0,Germany,Europe
373,University of Duisburg-Essen,17,64581.0,Germany,Europe
374,UFF,35,63577.0,Brazil,South America
375,NYU Shanghai,3,63156.0,China,Asia
376,UFPE,30,62560.0,Brazil,South America
377,George Washington University,19,62176.0,USA,North America
378,National Cheng Kung University,40,62072.0,Taiwan,Asia
379,IIT Patna,14,61897.0,India,Asia
380,Durham University,33,61844.0,UK,Europe
381,University of Canterbury,17,60373.0,New Zealand,Australia
382,University of Augsburg,19,59577.0,Germany,Europe
383,University of Murcia,34,59365.0,Spain,Europe
384,Boise State University,20,59014.0,USA,North America
385,Cleveland State University,18,58583.0,USA,North America
386,Masdar Institute,17,57532.0,UAE,Asia
387,Stevens Institute of Technology,29,57217.0,USA,North America
388,University of Cincinnati,20,56931.0,USA,North America
389,IUPUI,23,56924.0,USA,North America
390,University of Groningen,12,56257.0,Netherlands,Europe
391,Auburn University,17,56143.0,USA,North America
392,Sharif University of Technology,33,55479.0,Iran,Asia
393,University of Louisiana - Lafayette,22,55349.0,USA,North America
394,Universidade NOVA de Lisboa,27,55326.0,Portugal,Europe
395,IIT Hyderabad,23,55144.0,India,Asia
396,Brandeis University,16,54379.0,USA,North America
397,Hacettepe University,28,54279.0,Turkey,Asia
398,University of Regina,15,54207.0,Canada,North America
399,West Virginia University,15,54198.0,USA,North America
400,IPI PAN,24,53656.0,Poland,Europe
401,ShanghaiTech University,43,53631.0,China,Asia
402,University of Malaya,21,53035.0,Malaysia,Asia
403,University of Rostock,17,53033.0,Germany,Europe
404,Keio University,17,52470.0,Japan,Asia
405,University of Potsdam,14,52137.0,Germany,Europe
406,Université de Sherbrooke,18,51935.0,Canada,North America
407,Tata Inst. of Fundamental Research,14,51636.0,India,Asia
408,Ontario Tech University,15,51578.0,Canada,North America
409,Korea University,30,51167.0,South Korea,Asia
410,University of Nevada,22,51074.0,USA,North America
411,UNC - Charlotte,19,50373.0,USA,North America
412,Charles University,29,50206.0,Czech Republic,Europe
413,American University of Beirut,23,50000.0,Lebanon,Asia
414,Université Jean Monnet,34,49810.0,France,Europe
415,University of Göttingen,16,49497.0,Germany,Europe
416,Kansas State University,17,49490.0,USA,North America
417,University of Memphis,11,49092.0,USA,North America
418,IIT Madras,31,48796.0,India,Asia
419,University of St Andrews,31,48557.0,UK,Europe
420,Universidad Rey Juan Carlos,10,48511.0,Spain,Europe
421,Aberystwyth University,19,48483.0,UK,Europe
422,Brno University of Technology,8,47794.0,Czech Republic,Europe
423,McMaster University,24,47128.0,Canada,North America
424,Boğaziçi University,17,47049.0,Turkey,Europe
425,Shandong University,33,46975.0,China,Asia
426,DAIICT,27,46940.0,India,Asia
427,University of Marburg,9,46591.0,Germany,Europe
428,IIT (BHU) Varanasi,13,45946.0,India,Asia
429,Louisiana State University,16,45550.0,USA,North America
430,IMDEA Software Institute,17,45468.0,Spain,Europe
431,Universidad de Chile,15,45245.0,Chile,South America
432,Hanyang University,26,44597.0,South Korea,Asia
433,UNIST,29,44392.0,South Korea,Asia
434,Middle East Technical University,30,44232.0,Turkey,Asia
435,University of Missouri - Kansas City,17,44202.0,USA,North America
436,Old Dominion University,15,44085.0,USA,North America
437,University of Buenos Aires,33,44032.0,Argentina,South America
438,IIIT Bangalore,30,43596.0,India,Asia
439,Özyeğin University,13,43430.0,Turkey,Europe
440,Université Laval,23,42619.0,Canada,North America
441,University of Texas - El Paso,13,42379.0,USA,North America
442,TU Ilmenau,15,42267.0,Germany,Europe
443,Middlesex University,44,42239.0,UK,Europe
444,University of Michigan-Dearborn,12,42226.0,USA,North America
445,University of Dundee,18,41288.0,UK,Europe
446,New Mexico State University,17,40659.0,USA,North America
447,UFPR,35,40570.0,Brazil,South America
448,University of Haifa,20,40348.0,Israel,Asia
449,University of Koblenz-Landau,19,40131.0,Germany,Europe
450,University of Aberdeen,14,39652.0,UK,Europe
451,Florida Institute of Technology,13,39546.0,USA,North America
452,University of Bern,4,39057.0,Switzerland,Europe
453,University of Kassel,12,38704.0,Germany,Europe
