Ranking,Institution,Average of Places From Four Metrics,Country,Continent
318,IIIT Hyderabad,312.0,India,Asia
319,College of William and Mary,313.0,USA,North America
320,Tufts University,313.25,USA,North America
321,Ecole Normale Superieure de Lyon,313.5,France,Europe
322,University of Canterbury,313.5,New Zealand,Australia
323,Colorado School of Mines,313.75,USA,North America
324,IISc Bangalore,315.5,India,Asia
325,IIT Kharagpur,316.25,India,Asia
326,University of Magdeburg,316.5,Germany,Europe
327,CRIStAL,316.75,France,Europe
328,University of Georgia,317.0,USA,North America
329,George Washington University,317.25,USA,North America
330,Queensland University of Technology,317.75,Australia,Australia
331,BUPT,317.75,China,Asia
332,HUST,318.25,China,Asia
333,University of Kassel,318.75,Germany,Europe
334,Birkbeck University of London,319.5,UK,Europe
335,RMIT University,321.5,Australia,Australia
336,University of Kiel,322.0,Germany,Europe
337,University of Duisburg-Essen,323.5,Germany,Europe
338,University of Potsdam,324.5,Germany,Europe
339,IIT Bombay,325.0,India,Asia
340,University of New Mexico,325.25,USA,North America
341,Queen's University Belfast,325.5,UK,Europe
342,Concordia University,326.5,Canada,North America
343,Wayne State University,326.75,USA,North America
344,University of New Brunswick,327.0,Canada,North America
345,University of Southern Mississippi,327.25,USA,North America
346,University of Memphis,328.0,USA,North America
347,University of Lübeck,330.0,Germany,Europe
348,University of Münster,331.0,Germany,Europe
349,Virginia Commonwealth University,335.25,USA,North America
350,PUC-RIO,335.25,Brazil,South America
351,University of Regina,335.5,Canada,North America
352,West Virginia University,336.0,USA,North America
353,University of Tartu,336.25,Estonia,Europe
354,University of Tsukuba,336.5,Japan,Asia
355,University of Newcastle,336.5,Australia,Australia
356,USP-ICMC,338.0,Brazil,South America
357,University of Augsburg,339.75,Germany,Europe
358,UNICAMP,340.0,Brazil,South America
359,UFRGS,340.75,Brazil,South America
360,Cleveland State University,342.75,USA,North America
361,University of North Texas,345.75,USA,North America
362,Xi'an Jiaotong University,346.25,China,Asia
363,Université de Sherbrooke,348.0,Canada,North America
364,University of Warsaw,348.5,Poland,Europe
365,Open University UK,349.25,UK,Europe
366,Hunan University,351.0,China,Asia
367,University of Ioannina,352.5,Greece,Europe
368,Bauhaus University Weimar,353.5,Germany,Europe
369,NTNU,353.5,Norway,Europe
370,Ontario Tech University,355.0,Canada,North America
371,National Tsing Hua University,355.25,Taiwan,Asia
372,UNC - Charlotte,356.75,USA,North America
373,Royal Holloway University of London,357.5,UK,Europe
374,University of L'Aquila,358.25,Italy,Europe
375,University of Miami,359.0,USA,North America
376,University of Göttingen,361.25,Germany,Europe
377,University of Kentucky,363.25,USA,North America
378,Tata Inst. of Fundamental Research,363.5,India,Asia
379,University of Iowa,369.0,USA,North America
380,Kyungpook National University,369.25,South Korea,Asia
381,University of Sussex,370.25,UK,Europe
382,Brandeis University,375.0,USA,North America
383,Masaryk University,375.25,Czech Republic,Europe
384,University of Rostock,375.5,Germany,Europe
385,Freie Universitaet Berlin,377.0,Germany,Europe
386,Simula UiB,377.25,Norway,Europe
387,TU Ilmenau,377.25,Germany,Europe
388,Louisiana State University,377.5,USA,North America
389,IIT Delhi,378.5,India,Asia
390,Heriot-Watt University,379.75,UK,Europe
391,Yonsei University,381.25,South Korea,Asia
392,University of A Coruña,382.75,Spain,Europe
393,Shenzhen University,383.0,China,Asia
394,University of Siegen,383.25,Germany,Europe
395,PUC-RS,383.5,Brazil,South America
396,University of Cincinnati,384.0,USA,North America
397,University of Exeter,385.5,UK,Europe
398,Bocconi University,385.75,Italy,Europe
399,Qatar University,387.25,Qatar,Asia
400,Kansas State University,388.25,USA,North America
401,Keio University,390.0,Japan,Asia
402,Auburn University,390.75,USA,North America
403,IIT Patna,391.75,India,Asia
404,Renmin University of China,391.75,China,Asia
405,University of Mainz,392.25,Germany,Europe
406,University of Koblenz-Landau,393.0,Germany,Europe
407,DePaul University,393.5,USA,North America
408,National Cheng Kung University,393.75,Taiwan,Asia
409,Massey University,395.0,New Zealand,Australia
410,Masdar Institute,395.5,UAE,Asia
411,University of Vermont,398.0,USA,North America
412,Naval Postgraduate School,400.25,USA,North America
413,Polytechnique Montreal,400.75,Canada,North America
414,Universidad de Chile,401.0,Chile,South America
415,Brandenburg University of Technology,401.75,Germany,Europe
416,USP,402.5,Brazil,South America
417,University of Molise,404.25,Italy,Europe
418,University of Trier,405.5,Germany,Europe
419,Korea University,407.5,South Korea,Asia
420,Aberystwyth University,408.5,UK,Europe
421,Old Dominion University,408.75,USA,North America
422,Koç University,409.5,Turkey,Asia
423,UFF,410.25,Brazil,South America
424,University of Bayreuth,410.25,Germany,Europe
425,IIIT Delhi,410.25,India,Asia
426,University of Aberdeen,410.5,UK,Europe
427,IMDEA Software Institute,410.75,Spain,Europe
428,UFRJ,411.25,Brazil,South America
429,Florida Institute of Technology,411.75,USA,North America
430,University of Salzburg,412.75,Austria,Europe
431,Waseda University,413.25,Japan,Asia
432,Maastricht University,414.0,Netherlands,Europe
433,University of Murcia,414.0,Spain,Europe
434,UFPE,415.0,Brazil,South America
435,Western Michigan University,415.25,USA,North America
436,University of Missouri - Kansas City,416.5,USA,North America
437,University of Nevada,417.25,USA,North America
438,IUPUI,418.0,USA,North America
439,Boğaziçi University,418.25,Turkey,Europe
440,University of Louisiana - Lafayette,418.75,USA,North America
441,University of Bamberg,419.75,Germany,Europe
442,University of Louisville,423.25,USA,North America
443,Durham University,423.5,UK,Europe
444,University of Dundee,424.75,UK,Europe
445,University of Texas - El Paso,424.75,USA,North America
446,Shandong University,425.0,China,Asia
447,University of Malaya,426.0,Malaysia,Asia
448,University of Oldenburg,426.5,Germany,Europe
449,Universidade NOVA de Lisboa,427.25,Portugal,Europe
450,IIT (BHU) Varanasi,427.75,India,Asia
451,American University of Beirut,429.25,Lebanon,Asia
452,Cyprus University of Technology,430.0,Cyprus,Europe
453,Bundeswehr University Munich,430.25,Germany,Europe
454,IPI PAN,431.0,Poland,Europe
455,Sharif University of Technology,431.0,Iran,Asia
456,Ryerson University,431.75,Canada,North America
457,Boise State University,431.75,USA,North America
458,Özyeğin University,433.5,Turkey,Europe
459,McMaster University,435.75,Canada,North America
460,University of Wyoming,436.25,USA,North America
461,University of Tulsa,436.25,USA,North America
462,University of Szeged,436.25,Hungary,Europe
463,University of St Andrews,437.0,UK,Europe
464,University of Wroclaw,437.75,Poland,Europe
465,University of Halle-Wittenberg,437.75,Germany,Europe
466,University of Haifa,437.75,Israel,Asia
467,Stevens Institute of Technology,438.25,USA,North America
468,Tulane University,439.75,USA,North America
469,Charles University,440.5,Czech Republic,Europe
470,Friedrich Schiller University Jena,442.5,Germany,Europe
471,University of Osnabrück,443.0,Germany,Europe
472,Jacobs University Bremen,444.0,Germany,Europe
473,Université Laval,445.25,Canada,North America
474,Université Jean Monnet,447.0,France,Europe
475,Portland State University,448.25,USA,North America
476,Kyung Hee University,448.25,South Korea,Asia
477,Tilburg University,448.75,Netherlands,Europe
478,University of New Hampshire,449.75,USA,North America
479,University of Wuppertal,450.25,Germany,Europe
480,IIT Gandhinagar,450.75,India,Asia
481,ShanghaiTech University,453.0,China,Asia
482,TU Clausthal,453.25,Germany,Europe
483,University of Alabama - Birmingham,455.0,USA,North America
484,University of Buenos Aires,456.75,Argentina,South America
485,IIT Madras,458.0,India,Asia
486,IIT Hyderabad,458.75,India,Asia
487,University of Michigan-Dearborn,464.0,USA,North America
488,Middlesex University,464.25,UK,Europe
489,Middle East Technical University,466.0,Turkey,Asia
490,Hamburg University of Technology,466.25,Germany,Europe
491,Hanyang University,467.0,South Korea,Asia
492,Hacettepe University,467.25,Turkey,Asia
493,Sabancı University,468.25,Turkey,Asia
494,Texas State University,469.5,USA,North America
495,IIIT Bangalore,471.5,India,Asia
496,University of Maine,474.5,USA,North America
497,Claremont Graduate University,476.0,USA,North America
498,Lebanese American University,476.25,Lebanon,Asia
499,Kent State University,476.75,USA,North America
500,Utah State University,477.0,USA,North America
501,UFPR,479.0,Brazil,South America
502,New Mexico State University,479.0,USA,North America
503,UNIST,482.75,South Korea,Asia
504,Simmons University,483.0,USA,North America
505,IIT Bhubaneswar,484.0,India,Asia
506,DAIICT,484.5,India,Asia
507,Istanbul Technical University,484.75,Turkey,Asia
508,IMSc,485.0,India,Asia
509,OHSU,485.0,USA,North America
510,University of Twente,485.5,Netherlands,Europe
511,Universidade de Brasília,486.0,Brazil,South America
512,The University of Alabama,488.5,USA,North America
513,University of Arkansas,490.0,USA,North America
514,Texas Tech University,492.0,USA,North America
515,Goldsmiths University of London,494.5,UK,Europe
516,BITS Pilani,494.75,India,Asia
517,IPM,496.25,Iran,Asia
518,IIT Jodhpur,496.5,India,Asia
519,IIT Indore,498.0,India,Asia
520,Loughborough University,498.25,UK,Europe
521,Southern Methodist University,498.75,USA,North America
522,CMI,502.25,India,Asia
523,IUST,502.25,Iran,Asia
524,IIT Ropar,505.25,India,Asia
525,Mississippi State University,505.5,USA,North America
526,Stellenbosch University,506.0,South Africa,Africa
527,IIT Mandi,507.0,India,Asia
528,Tongji University,507.25,China,Asia
529,University of Alabama - Huntsville,509.25,USA,North America
530,Memorial University of Newfoundland,512.0,Canada,North America
531,University of Mississippi,512.25,USA,North America
532,TOBB ETÜ,513.5,Turkey,Asia
533,Augusta University,514.25,USA,North America
534,University at Albany - SUNY,515.25,USA,North America
535,IIT Roorkee,516.75,India,Asia
536,Boston College,517.5,USA,North America
537,JUST,517.75,Jordan,Asia
538,American University in Cairo,519.25,Egypt,Africa
539,Ohio University,520.5,USA,North America
540,Nova Southeastern University,521.25,USA,North America
541,Universidad de los Andes,522.25,Colombia,South America
542,University of Jordan,522.75,Jordan,Asia
543,BUET,523.25,Bangladesh,Asia
544,TU Chemnitz,524.0,Germany,Europe
545,Oakland University,524.5,USA,North America
546,University of Wisconsin - Milwaukee,525.0,USA,North America
547,Ecole Normale Superieure de Rennes,525.5,France,Europe
548,Ariel University,526.0,Israel,Asia
549,University of Nevada Las Vegas,528.0,USA,North America
550,UFU,529.0,Brazil,South America
551,University of Cape Town,529.5,South Africa,Africa
552,Montana State University,529.75,USA,North America
553,University of Denver,530.0,USA,North America
554,Michigan Technological University,532.25,USA,North America
555,King Abdulaziz University,532.75,Saudi Arabia,Asia
556,Yıldız Technical University,532.75,Turkey,Europe
557,University of Idaho,533.25,USA,North America
558,University of Windsor,534.75,Canada,North America
559,Federal University of Rio Grande,537.0,Brazil,South America
560,Wichita State University,538.5,USA,North America
