Ranking,Institution,Faculty Count,Average h-index,Country,Continent
530,University of Windsor,19,17.3,Canada,North America
531,Memorial University of Newfoundland,20,17.29,Canada,North America
532,IIIT Delhi,39,17.21,India,Asia
533,IIIT Bangalore,30,17.14,India,Asia
534,Istanbul Technical University,25,17.14,Turkey,Asia
535,South Asian University,7,17.0,India,Asia
536,IIT Roorkee,13,16.91,India,Asia
537,Middle East Technical University,30,16.79,Turkey,Asia
538,University of Arkansas - Little Rock,7,16.75,USA,North America
539,Loughborough University,23,16.75,UK,Europe
540,IIT Mandi,14,16.7,India,Asia
541,New Mexico State University,17,16.65,USA,North America
542,BITS Pilani,22,16.5,India,Asia
543,University of Michigan-Dearborn,12,16.4,USA,North America
544,Michigan Technological University,15,16.33,USA,North America
545,University of Wroclaw,31,16.27,Poland,Europe
546,IUST,26,16.24,Iran,Asia
547,Nova Southeastern University,20,16.11,USA,North America
548,Towson University,24,16.11,USA,North America
549,Babeș-Bolyai University,4,16.0,Romania,Europe
550,Ariel University,18,15.41,Israel,Asia
551,Goldsmiths University of London,39,15.35,UK,Europe
552,SUFE,7,15.29,China,Asia
553,IIT Hyderabad,23,15.26,India,Asia
554,University of New Orleans,10,15.25,USA,North America
555,Wichita State University,18,15.15,USA,North America
556,Yıldız Technical University,22,15.0,Turkey,Europe
557,University of Nebraska - Omaha,17,15.0,USA,North America
558,ShanghaiTech University,43,14.77,China,Asia
559,New Mexico Tech,7,14.71,USA,North America
560,Royal Military College of Canada,10,14.6,Canada,North America
561,JUST,22,14.56,Jordan,Asia
562,TOBB ETÜ,13,14.54,Turkey,Asia
563,LUMS,16,14.46,Pakistan,Asia
564,BUET,21,14.28,Bangladesh,Asia
565,Hacettepe University,28,14.25,Turkey,Asia
566,UFPR,35,14.09,Brazil,South America
567,Ruhr-Universty Bochum,1,14.0,Germany,Europe
568,Universidad de los Andes,24,13.95,Colombia,South America
569,UNIST,29,13.76,South Korea,Asia
570,University of Malta,11,13.73,Malta,Europe
571,DAIICT,27,13.7,India,Asia
572,Federal University of Rio Grande,18,13.25,Brazil,South America
573,University of Nicosia,15,13.2,Cyprus,Europe
