Ranking,Institution,Total h-index,Country,Continent
526,University of Idaho,166.0,USA,North America
527,University of Michigan-Dearborn,164.0,USA,North America
528,IIT Ropar,162.0,India,Asia
529,University of Wisconsin - Milwaukee,161.0,USA,North America
530,TU Clausthal,157.0,Germany,Europe
531,Mississippi State University,155.0,USA,North America
532,Freie Universitaet Berlin,154.0,Germany,Europe
533,OHSU,154.0,USA,North America
534,University of Trier,153.0,Germany,Europe
535,Jacobs University Bremen,153.0,Germany,Europe
536,University of Malta,151.0,Malta,Europe
537,Oakland University,151.0,USA,North America
538,Towson University,145.0,USA,North America
539,Stellenbosch University,145.0,South Africa,Africa
540,Nova Southeastern University,145.0,USA,North America
541,TU Chemnitz,144.0,Germany,Europe
542,University of Halle-Wittenberg,141.0,Germany,Europe
543,Montana State University,139.0,USA,North America
544,The University of Alabama,139.0,USA,North America
545,Kyung Hee University,137.0,South Korea,Asia
546,University of Nicosia,132.0,Cyprus,Europe
547,Tongji University,127.0,China,Asia
548,IMSc,125.0,India,Asia
549,University of Alabama - Birmingham,125.0,USA,North America
550,Western Michigan University,124.0,USA,North America
551,Ohio University,122.0,USA,North America
552,American University in Cairo,122.0,Egypt,Africa
553,University of New Orleans,122.0,USA,North America
554,University of Nebraska - Omaha,120.0,USA,North America
555,University of Hildesheim,119.0,Germany,Europe
556,South Asian University,119.0,India,Asia
557,Izmir Institute of Technology,112.0,Turkey,Asia
558,Universidade Federal de Viçosa,111.0,Brazil,South America
559,Universidad de Zaragoza,110.0,Spain,Europe
560,Southern Methodist University,109.0,USA,North America
561,SUFE,107.0,China,Asia
562,University of Maine,103.0,USA,North America
563,New Mexico Tech,103.0,USA,North America
564,Galatasaray University,99.0,Turkey,Europe
565,Claremont Graduate University,96.0,USA,North America
566,University of Alabama - Huntsville,90.0,USA,North America
567,Ecole Normale Superieure de Rennes,90.0,France,Europe
568,UFMS,86.0,Brazil,South America
569,KMUTNB,85.0,Thailand,Asia
570,University of Wyoming,84.0,USA,North America
571,Bauhaus University Weimar,75.0,Germany,Europe
572,Oklahoma State University,75.0,USA,North America
573,IPM,74.0,Iran,Asia
574,Royal Military College of Canada,73.0,Canada,North America
575,University of Arkansas - Little Rock,67.0,USA,North America
576,Babeș-Bolyai University,64.0,Romania,Europe
577,DTU,60.0,Denmark,Europe
578,Missouri S&T,60.0,USA,North America
579,Air Force Institute of Technology,60.0,USA,North America
580,University of Denver,58.0,USA,North America
581,IIT Bhubaneswar,51.0,India,Asia
582,IIT Goa,51.0,India,Asia
583,University of Southern Mississippi,44.0,USA,North America
584,Simula UiB,38.0,Norway,Europe
585,Simmons University,27.0,USA,North America
586,University of Twente,27.0,Netherlands,Europe
587,Louisiana Tech University,25.0,USA,North America
588,University of Colorado - Denver,23.0,USA,North America
589,University of Mississippi,19.0,USA,North America
590,Indiana State University,18.0,USA,North America
591,North Dakota State University,18.0,USA,North America
592,Chulalongkorn University,15.0,Thailand,Asia
593,Ruhr-Universty Bochum,14.0,Germany,Europe
594,TU Freiberg,13.0,Germany,Europe
595,LIU Post,11.0,USA,North America
596,Wichita State Unitveristy,3.0,USA,North America
